G,D
3.8014285907353442,0.05178594739839741
-0.6634566510376865,-0.10646564256246775
-38.73891044642827,-0.1744718016010441
-131.44503366130672,-0.29503958715151435
-277.4418093537631,-0.20925894959332192
-476.29841195720513,-0.16031966536012415
-730.9544485431828,-0.1398705051369863
-1044.9363988588934,-0.1328007946275685
-1421.944576733733,-0.13016140036386986
-1865.8143101522367,-0.11746190737371576
-2380.5009096746576,-0.11193780768407534
-2969.997506755672,-0.1052212649828767
-3638.277741732663,-0.10408450610017124
-4389.304608906785,-0.09614090592893836
-5227.032781731593,-0.08915614297945205
-6155.379019959332,-0.08389808968321918
-7178.277835375642,-0.07847816780821917
-8299.625163875215,-0.07191178831335616
-9523.297905072774,-0.06799015410958904
-10853.189981538955,-0.06563302654109589
-12293.14347442209,-0.06475947131849315
-13847.023230147688,-0.06001846104452055
-15518.675941780823,-0.059308112157534246
-17311.912296660958,-0.056742294520547944
-19230.537162885274,-0.05394905821917808
